step,time_s,red_score,looming,visible,attack,mode,danger_score,forward_velocity,dragonfly_state
2225,0.22249999999999182,0.0,0.0,False,False,normal,0.0,9.281403420133767,rest
2226,0.2225999999999918,0.0,0.0,False,False,normal,0.0,9.281495412055305,rest
2227,0.2226999999999918,0.0,0.0,False,False,normal,0.0,9.28159705983412,rest
2228,0.22279999999999178,0.0,0.0,False,False,normal,0.0,9.281705716562282,rest
2229,0.22289999999999177,0.0,0.0,False,False,normal,0.0,9.281818818140547,rest
2230,0.22299999999999176,0.0,0.0,False,False,normal,0.0,9.281935214888154,rest
2231,0.22309999999999175,0.0,0.0,False,False,normal,0.0,9.282055065165967,rest
2232,0.22319999999999174,0.0,0.0,False,False,normal,0.0,9.282178016051038,rest
2233,0.22329999999999173,0.0,0.0,False,False,normal,0.0,9.282305017315098,rest
2234,0.22339999999999172,0.0,0.0,False,False,normal,0.0,9.282439260336323,rest
2235,0.2234999999999917,0.0,0.0,False,False,normal,0.0,9.28258134149069,rest
2236,0.2235999999999917,0.0,0.0,False,False,normal,0.0,9.282730428384893,rest
2237,0.22369999999999168,0.0,0.0,False,False,normal,0.0,9.282884968216642,rest
2238,0.22379999999999167,0.0,0.0,False,False,normal,0.0,9.283042656803504,rest
2239,0.22389999999999166,0.0,0.0,False,False,normal,0.0,9.283202291306372,rest
2240,0.22399999999999165,0.0,0.0,False,False,normal,0.0,9.283364036481922,rest
2241,0.22409999999999164,0.0,0.0,False,False,normal,0.0,9.28352893883337,rest
2242,0.22419999999999163,0.0,0.0,False,False,normal,0.0,9.283697045600302,rest
2243,0.22429999999999162,0.0,0.0,False,False,normal,0.0,9.283869310267868,rest
2244,0.2243999999999916,0.0,0.0,False,False,normal,0.0,9.284046904111818,rest
2245,0.2244999999999916,0.0,0.0,False,False,normal,0.0,9.284230572045278,rest
2246,0.22459999999999158,0.0,0.0,False,False,normal,0.0,9.284420549280185,rest
2247,0.22469999999999157,0.0,0.0,False,False,normal,0.0,9.284615869697491,rest
2248,0.22479999999999156,0.0,0.0,False,False,normal,0.0,9.28481460915772,rest
2249,0.22489999999999155,0.0,0.0,False,False,normal,0.0,9.285015735790916,rest
2250,0.22499999999999154,0.0,0.0,False,False,normal,0.0,9.285219233780236,rest
2251,0.22509999999999153,0.0,0.0,False,False,normal,0.0,9.28542574175497,rest
2252,0.22519999999999152,0.0,0.0,False,False,normal,0.0,9.285634822047067,rest
2253,0.2252999999999915,0.0,0.0,False,False,normal,0.0,9.28584701609681,rest
2254,0.2253999999999915,0.0,0.0,False,False,normal,0.0,9.286063321130756,rest
2255,0.22549999999999149,0.0,0.0,False,False,normal,0.0,9.286284478859148,rest
2256,0.22559999999999147,0.0,0.0,False,False,normal,0.0,9.286510849919521,rest
2257,0.22569999999999146,0.0,0.0,False,False,normal,0.0,9.286741497683353,rest
2258,0.22579999999999145,0.0,0.0,False,False,normal,0.0,9.286975722242412,rest
2259,0.22589999999999144,0.0,0.0,False,False,normal,0.0,9.287212044603104,rest
2260,0.22599999999999143,0.0,0.0,False,False,normal,0.0,9.28744971238792,rest
2261,0.22609999999999142,0.0,0.0,False,False,normal,0.0,9.287688838207417,rest
2262,0.2261999999999914,0.0,0.0,False,False,normal,0.0,9.287928813050762,rest
2263,0.2262999999999914,0.0,0.0,False,False,normal,0.0,9.288170314031998,rest
2264,0.22639999999999139,0.0,0.0,False,False,normal,0.0,9.288416220135408,rest
